PACKAGE, GENERATIONS, MODE, POPULATION SIZE, EXECUTION TIME
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplaceByMethod1, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplaceByMethod1, 50, jgenprog, 50, 41
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase1, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase1, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase1, 50, jgenprog, 50, 5
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2a, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2a, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2a, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2a, 50, jgenprog, 50, 19
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2b, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2b, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2b, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2b, 50, jgenprog, 50, 8
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2c, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2c, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2c, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2c, 50, jgenprog, 50, 26
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase3, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase3, 50, jgenprog, 10,, 4
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase3, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase3, 50, jgenprog, 50, 8
/Users/ben/Documents/Uni/astor/examples/Math-0c1ef/, 50, jgenprog, 1,, 20
/Users/ben/Documents/Uni/astor/examples/Math-0c1ef/, 50, jgenprog, 10,, 145
